id,article_nr,medium_code,relevant,frames_present,dominant_frame,resp_accused_actors,moral_position,conflict_parties,raw_text
901796,219,SGT,1,2,2,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [2],
    ""dominant_frame"": 2,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
959191,220,NZZ,1,1;2;3;6;7;8,1,Wirtschaftsverbände;Politik;SP;FDP,restriktiv,SVP;SP;FDP;Bundesrat,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 3, 6, 7, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Wirtschaftsverbände"", ""Politik"", ""SP"", ""FDP""]
  },
  ""moral_frame"": {
    ""position"": ""restriktiv""
  },
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""SP"", ""FDP"", ""Bundesrat""]
  }
}"
902413,221,SGT,0,NA,0,NA,NA,NA,"{
  ""relevant"": 0,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1349114,222,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1062895,223,SGT,1,1;2;6;8,8,SVP;EU-Bürger,NA,SVP;SP,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP"", ""EU-Bürger""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""SP""]
    }
}"
1386851,224,SGT,1,6;8,8,SVP;Auns,NA,SVP/Auns;andere Parteien;EU,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Auns""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP/Auns"", ""andere Parteien"", ""EU""]
  }
}"
1412957,225,SRF,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1271304,226,TA,1,2;6;8,2,SVP,NA,SP;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SP"", ""SVP""]
  }
}"
1041634,227,TA,1,1;2;6;8,6,SVP;Initianten der Initiative,NA,Schweizer Bauernverband;SVP;verschiedene Kantonalsektionen,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Initianten der Initiative""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Schweizer Bauernverband"", ""SVP"", ""verschiedene Kantonalsektionen""]
  }
}"
1048340,228,SRF,1,1;2;6;8,1,EU;SVP;other parties;Federal Council,NA,SVP;other parties;Federal Council,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""SVP"", ""other parties"", ""Federal Council""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""other parties"", ""Federal Council""]
    }
}"
1131493,229,ZWA,1,1;2;6;8,6,Bundesrat,NA,SVP;Bauernverband;Bundesrat,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Bundesrat""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Bauernverband"", ""Bundesrat""]
    }
}"
1121969,230,TA,1,6;8,6,EU;Schweiz;Bundesrat;Parlament,NA,EU;Schweiz;SVP;Bundesrat;Parlament,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""Schweiz"", ""Bundesrat"", ""Parlament""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""EU"", ""Schweiz"", ""SVP"", ""Bundesrat"", ""Parlament""]
    }
}"
1065873,231,SGT,1,2;6,2,NA,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": []
  },
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
956394,232,TA,1,6;8,8,"SVP;Bundesrat;Parteipräsidenten der CVP, BDP, SP, FDP, Grünen, GLP und EVP",NA,"SVP;Gegner der Initiative (CVP, BDP, SP, FDP, Grünen, GLP, EVP)","{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Bundesrat"", ""Parteipräsidenten der CVP, BDP, SP, FDP, Grünen, GLP und EVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""Gegner der Initiative (CVP, BDP, SP, FDP, Grünen, GLP, EVP)""]
  }
}"
941962,233,TA,1,2;6;7;8,6,Initianten der SVP-Initiative,liberal,Bundesrätin Sommaruga;SVP-Initianten,"{
    ""relevant"": 1,
    ""frames_present"": [2, 6, 7, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Initianten der SVP-Initiative""]
    },
    ""moral_frame"": {
        ""position"": ""liberal""
    },
    ""conflict_frame"": {
        ""parties"": [""Bundesrätin Sommaruga"", ""SVP-Initianten""]
    }
}"
1040643,234,TA,1,1;6;8,6,Bundesrat;Kantone,NA,Bundesrat;FDP;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Bundesrat"", ""Kantone""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Bundesrat"", ""FDP"", ""SVP""]
  }
}"
1400977,235,SGT,1,1;6;8,6,Arbeitgeber;Bürgerliche;Bundesrat,NA,Travail Suisse;Arbeitgeber;Bürgerliche;Bundesrat;SGB;FDP,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Arbeitgeber"", ""Bürgerliche"", ""Bundesrat""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Travail Suisse"", ""Arbeitgeber"", ""Bürgerliche"", ""Bundesrat"", ""SGB"", ""FDP""]
  }
}"
1064849,236,NZZ,1,2;6;8,2,CDU;CSU,NA,FDP;CDU/CSU;AfD,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""CDU"", ""CSU""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""FDP"", ""CDU/CSU"", ""AfD""]
  }
}"
985830,237,BZ,1,1;2;6;8,6,SVP;Wirtschaft;Bundesrat,NA,Befürworter der SVP-Initiative;Gegner der SVP-Initiative,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Wirtschaft"", ""Bundesrat""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Befürworter der SVP-Initiative"", ""Gegner der SVP-Initiative""]
  }
}"
1165541,238,SGT,1,1;3;6;7;8,1,Bundesbern;fast alle Parteien;Arbeitgeberverband;Bauernverband,restriktiv,Volk;Bundesbern und Verbände,"{
    ""relevant"": 1,
    ""frames_present"": [1, 3, 6, 7, 8],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""Bundesbern"", ""fast alle Parteien"", ""Arbeitgeberverband"", ""Bauernverband""]
    },
    ""moral_frame"": {
        ""position"": ""restriktiv""
    },
    ""conflict_frame"": {
        ""parties"": [""Volk"", ""Bundesbern und Verbände""]
    }
}"
1048607,239,BLI,1,6;7;8,6,SVP,restrictive,SVP;Völkerrecht,"{
  ""relevant"": 1,
  ""frames_present"": [6, 7, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": {
    ""position"": ""restrictive""
  },
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""Völkerrecht""]
  }
}"
1150709,240,SGT,1,2;8,2,NA,NA,Bauernverband;SVP;Gruppe um Nationalrat Rudolf Joder,"{
  ""relevant"": 1,
  ""frames_present"": [2, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""Bauernverband"",
      ""SVP"",
      ""Gruppe um Nationalrat Rudolf Joder""
    ]
  }
}"
1405086,241,TA,1,1;6;8,6,EU-Kommission;Mitgliedsstaaten,NA,EU-Kommission;Mitgliedsstaaten;deutscher Innenminister,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU-Kommission"", ""Mitgliedsstaaten""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""EU-Kommission"", ""Mitgliedsstaaten"", ""deutscher Innenminister""]
    }
}"
1216917,242,SGT,1,2;6;8,2,SVP,NA,Bundesrat;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Bundesrat"", ""SVP""]
  }
}"
1077274,243,BU,1,1;2;6;8,1,EU;SVP,NA,SVP;Gegner der Initiative,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""SVP""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""Gegner der Initiative""]
    }
}"
1065982,244,SGT,1,2;6;8,6,SVP;Gegner der SVP-Initiative,NA,SVP;Gegner der SVP-Initiative;Bauernpräsident Markus Ritter,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Gegner der SVP-Initiative""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""Gegner der SVP-Initiative"", ""Bauernpräsident Markus Ritter""]
  }
}"
1268654,245,ZWA,1,6;8,6,Schweizer,NA,EU;Schweizer,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Schweizer""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""EU"", ""Schweizer""]
    }
}"
1174326,246,BU,1,1;2;6;8,6,Blocher-Lager;Arbeitgeberseite;Seco;Bundesrat,NA,Initiativbefürworter;Arbeitgeberseite;Bundesrat;SP,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [
      ""Blocher-Lager"",
      ""Arbeitgeberseite"",
      ""Seco"",
      ""Bundesrat""
    ]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""Initiativbefürworter"",
      ""Arbeitgeberseite"",
      ""Bundesrat"",
      ""SP""
    ]
  }
}"
1086799,247,NZZ,1,6;8,6,Schweiz,NA,Schweiz;EU,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Schweiz""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""Schweiz"", ""EU""]
    }
}"
969757,248,BZ,1,1;6;7;8,6,SVP;Bundesrat;Wirtschaftsverbände,restrictive,SVP;Bundesrat;Wirtschaftsverbände,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 7, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP"", ""Bundesrat"", ""Wirtschaftsverbände""]
    },
    ""moral_frame"": {
        ""position"": ""restrictive""
    },
    ""conflict_frame"": {
        ""parties"": [""SVP vs. Bundesrat und Wirtschaftsverbände""]
    }
}"
1017120,249,BZ,1,6;8,8,NA,NA,"Gewerkschaften und SP;Wirtschaftsdepartement, Arbeitgeber- und Wirtschaftsverbände;Thurgauer Bauern und SVP;Schweizer Bauernverband","{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": []
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""Gewerkschaften und SP"",
      ""Wirtschaftsdepartement, Arbeitgeber- und Wirtschaftsverbände"",
      ""Thurgauer Bauern und SVP"",
      ""Schweizer Bauernverband""
    ]
  }
}"
1390796,250,NZZ,1,6;8,8,FDP;Mitte-Parteien,NA,SVP;SP;FDP;Mitte-Parteien,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": {
        ""accused_actors"": [
            ""FDP"",
            ""Mitte-Parteien""
        ]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""SVP"",
            ""SP"",
            ""FDP"",
            ""Mitte-Parteien""
        ]
    }
}"
1092260,251,BU,1,1;6,1,SVP,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1107879,252,BLI,1,8,8,NA,NA,Befürworter der Initiative;Gegner der Initiative,"{
  ""relevant"": 1,
  ""frames_present"": [8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""Befürworter der Initiative"",
      ""Gegner der Initiative""
    ]
  }
}"
1158745,253,NZZ,1,1;6;8,1,EU-Kommission;nationale Regierungen,NA,EU-Kommission;nationale Regierungen;Osteuropäische Länder;Großbritannien,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""EU-Kommission"", ""nationale Regierungen""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""EU-Kommission"", ""nationale Regierungen"", ""Osteuropäische Länder"", ""Großbritannien""]
  }
}"
935589,254,ZWA,1,3;6;8,3,Asylbewerber;Deutsche,NA,Schweizer;Ausländer,"{
  ""relevant"": 1,
  ""frames_present"": [3, 6, 8],
  ""dominant_frame"": 3,
  ""responsibility_frame"": {
    ""accused_actors"": [""Asylbewerber"", ""Deutsche""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Schweizer"", ""Ausländer""]
  }
}"
1006260,255,ZWA,1,2;6;8,2,SVP,NA,Economiesuisse;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Economiesuisse"", ""SVP""]
  }
}"
1033199,256,NZZ,1,2;6;8,2,SVP,NA,Zürcher Regierungsrat;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Zürcher Regierungsrat"", ""SVP""]
  }
}"
957534,257,BU,1,6;8,8,SVP;Ecopop-Initianten,NA,SVP;Ecopop-Initianten;Grüne;FDP;Befürworter der Personenfreizügigkeit,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": {
        ""accused_actors"": [
            ""SVP"",
            ""Ecopop-Initianten""
        ]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""SVP"",
            ""Ecopop-Initianten"",
            ""Grüne"",
            ""FDP"",
            ""Befürworter der Personenfreizügigkeit""
        ]
    }
}"
1103228,258,NZZ,1,2;6;7;8,2,SVP;Befürworter der Initiative,liberal,Befürworter der Initiative;Gegner der Initiative,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6, 7, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Befürworter der Initiative""]
  },
  ""moral_frame"": {
    ""position"": ""liberal""
  },
  ""conflict_frame"": {
    ""parties"": [""Befürworter der Initiative"", ""Gegner der Initiative""]
  }
}"
927944,259,SRF,1,1;6;8,6,SVP;Bundesrat,NA,SVP;Gegner der Initiative;Bundesrat,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Bundesrat""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""Gegner der Initiative"", ""Bundesrat""]
  }
}"
1246996,260,NZZ,1,1;6;8,6,Bundesrat;EU,NA,SVP;SP;Gewerkschaften;Bundesrat,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [
      ""Bundesrat"",
      ""EU""
    ]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""SVP"",
      ""SP"",
      ""Gewerkschaften"",
      ""Bundesrat""
    ]
  }
}"
970321,261,BU,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1124811,262,BZ,1,8,8,NA,NA,Befürworter der Einwanderung;Gegner der Einwanderung,"{
    ""relevant"": 1,
    ""frames_present"": [8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""Befürworter der Einwanderung"",
            ""Gegner der Einwanderung""
        ]
    }
}"
983654,263,TA,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1274586,264,TA,1,NA,0,NA,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1136253,265,TA,1,2;8,2,NA,NA,SVP;Schweizerischer Bauernverband;Gemüsebauern;Familienbetriebe,"{
  ""relevant"": 1,
  ""frames_present"": [2, 8],
  ""dominant_frame"": 2,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [
      ""SVP"",
      ""Schweizerischer Bauernverband"",
      ""Gemüsebauern"",
      ""Familienbetriebe""
    ]
  }
}"
1164977,266,BU,1,1;2;6;8,1,EU;Bundesrat,NA,Bundesrat;Universität St. Gallen;Avenir Suisse,"{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU"", ""Bundesrat""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""Bundesrat"", ""Universität St. Gallen"", ""Avenir Suisse""]
    }
}"
967655,267,BZ,1,4;6;7,6,Regierung;Spitzenverbände,restriktiv,NA,"{
    ""relevant"": 1,
    ""frames_present"": [4, 6, 7],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Regierung"", ""Spitzenverbände""]
    },
    ""moral_frame"": {
        ""position"": ""restriktiv""
    },
    ""conflict_frame"": null
}"
973400,268,NZZ,1,6;8,6,SVP;Swiss political and economic practices,NA,SVP supporters;Critics of Swiss policies,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP"", ""Swiss political and economic practices""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP supporters"", ""Critics of Swiss policies""]
    }
}"
1390716,269,NZZ,0,NA,0,NA,NA,NA,"{
    ""relevant"": 0,
    ""frames_present"": [],
    ""dominant_frame"": 0,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1322228,270,SRF,1,2;6,2,Ecopop-Initiative,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""Ecopop-Initiative""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1224398,271,BU,1,6;8,6,Bundesrat;Kantone;Bundesamt für Migration,NA,Bundesrat;Kantone;Bundesamt für Migration;SVP,"{
    ""relevant"": 1,
    ""frames_present"": [6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""Bundesrat"", ""Kantone"", ""Bundesamt für Migration""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""Bundesrat"", ""Kantone"", ""Bundesamt für Migration"", ""SVP""]
    }
}"
1055040,272,SRF,1,1;6,1,SVP,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6],
    ""dominant_frame"": 1,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1016122,273,NZZ,1,8,8,NA,NA,Gewerkschaften;Bundesrat und bürgerliche Parteien;FDP,"{
    ""relevant"": 1,
    ""frames_present"": [8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""Gewerkschaften"",
            ""Bundesrat und bürgerliche Parteien"",
            ""FDP""
        ]
    }
}"
1200044,274,SRF,1,1;2;6;8,8,SVP,NA,SVP;Linke Parteien,"{
  ""relevant"": 1,
  ""frames_present"": [1, 2, 6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""Linke Parteien""]
  }
}"
1406058,275,BU,1,1;6;8,6,EU-Kommission;Mitgliedsstaaten,NA,EU-Kommission;Mitgliedsstaaten;Deutscher Innenminister,"{
    ""relevant"": 1,
    ""frames_present"": [1, 6, 8],
    ""dominant_frame"": 6,
    ""responsibility_frame"": {
        ""accused_actors"": [""EU-Kommission"", ""Mitgliedsstaaten""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""EU-Kommission"", ""Mitgliedsstaaten"", ""Deutscher Innenminister""]
    }
}"
1163383,276,TA,1,1;6;8,1,Bundesrat,NA,Bundesrat;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 1,
  ""responsibility_frame"": {
    ""accused_actors"": [""Bundesrat""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Bundesrat"", ""SVP""]
  }
}"
946303,277,SGT,1,2;6;7;8,2,SVP,liberal,SVP;other parties and groups,"{
    ""relevant"": 1,
    ""frames_present"": [2, 6, 7, 8],
    ""dominant_frame"": 2,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP""]
    },
    ""moral_frame"": {
        ""position"": ""liberal""
    },
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""other parties and groups""]
    }
}"
1012313,278,NZZ,1,6;8,6,Bundesrat;Simonetta Sommaruga,NA,FDP;Bundesrat;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Bundesrat"", ""Simonetta Sommaruga""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""FDP"", ""Bundesrat"", ""SVP""]
  }
}"
1039807,279,BLI,1,8,8,NA,NA,Schweiz;EU,"{
    ""relevant"": 1,
    ""frames_present"": [8],
    ""dominant_frame"": 8,
    ""responsibility_frame"": null,
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [
            ""Schweiz"",
            ""EU""
        ]
    }
}"
1005069,280,SGT,1,2;6,2,Schweiz,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [2, 6],
  ""dominant_frame"": 2,
  ""responsibility_frame"": {
    ""accused_actors"": [""Schweiz""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
1005469,281,SGT,1,1;6;8,8,SVP;Gegner der Initiative,NA,SVP;SP;Jungfreisinnige,"{
  ""relevant"": 1,
  ""frames_present"": [1, 6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""SVP"", ""Gegner der Initiative""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SVP"", ""SP"", ""Jungfreisinnige""]
  }
}"
1354455,282,NZZ,1,6;8,8,SP;SVP;FDP,NA,SP;SVP;FDP,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 8,
  ""responsibility_frame"": {
    ""accused_actors"": [""SP"", ""SVP"", ""FDP""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""SP"", ""SVP"", ""FDP""]
  }
}"
1035448,283,SGT,1,6;8,6,Bundesrat,NA,Bundesrat;SVP,"{
  ""relevant"": 1,
  ""frames_present"": [6, 8],
  ""dominant_frame"": 6,
  ""responsibility_frame"": {
    ""accused_actors"": [""Bundesrat""]
  },
  ""moral_frame"": null,
  ""conflict_frame"": {
    ""parties"": [""Bundesrat"", ""SVP""]
  }
}"
1182211,284,SRF,1,1;2;6;8,2,SVP,NA,"SVP;FDP, CVP, BDP, GLP, Grüne, EVP","{
    ""relevant"": 1,
    ""frames_present"": [1, 2, 6, 8],
    ""dominant_frame"": 2,
    ""responsibility_frame"": {
        ""accused_actors"": [""SVP""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": {
        ""parties"": [""SVP"", ""FDP, CVP, BDP, GLP, Grüne, EVP""]
    }
}"
1343624,285,SGT,1,2;6,2,Ecopop-Initiative,NA,NA,"{
    ""relevant"": 1,
    ""frames_present"": [2, 6],
    ""dominant_frame"": 2,
    ""responsibility_frame"": {
        ""accused_actors"": [""Ecopop-Initiative""]
    },
    ""moral_frame"": null,
    ""conflict_frame"": null
}"
1017998,286,TA,1,NA,0,NA,NA,NA,"{
  ""relevant"": 1,
  ""frames_present"": [],
  ""dominant_frame"": 0,
  ""responsibility_frame"": null,
  ""moral_frame"": null,
  ""conflict_frame"": null
}"
